	Studies that indicated open IoT platforms 			
	Authors	Title	Year	Publisher
1	MAA da Cruz, JJPC Rodrigues…	A reference model for internet of things middleware	2018	ieeexplore.ieee.org
2	J Guth, U Breitenbücher, M Falkenthal, P Fremantle…	A detailed analysis of IoT platform architectures: concepts, similarities, and differences	2018	Springer
3	O Briante, F Cicirelli, A Guerrieri, A Iera…	A Social and Pervasive IoT Platform for Developing Smart Environments	2019	Springer
4	PP Ray	A survey of IoT cloud platforms	2016	Elsevier
5	M Dimitris, V Ekaterini, V Zogopoulos	An IoT-based Platform for Automated Customized Shopping in Distributed Environments	2018	Elsevier
6	S Kuila, N Dhanda, S Joardar, S Neogy	Analytical Survey on Standards of Internet of Things Framework and Platforms	2019	Springer
7	H Hassani, X Huang, E Silva	Big Data and Climate Change	2019	mdpi.com
8	P Sotres, J Lanza, L Sánchez, JR Santana, C López…	Breaking Vendors and City Locks through a Semantic-enabled Global Interoperable Internet-of-Things System: A Smart Parking Case	2019	mdpi.com
9	S Jo, J Han	Convergence P2P cloud computing	2018	Springer
10	P Gallo, UQ Nguyen, G Barone…	DeCyMo: Decentralized Cyber-Physical System for Monitoring and Controlling Industries and Homes	2018	ieeexplore.ieee.org
11	C Pham, M Diop	Deploying low-cost, long-range innovative IoT with the WAZIUP IoT/gateway framework.	2018	acm
12	M Fraefel, S Haller, A Gschwend	Big data in the public sector. Linking cities to sensors	2017	Springer
13	H Noguchi, T Demizu, M Kataoka, Y Yamato	Distributed Search Architecture for Object Tracking in the Internet of Things	2018	ieeexplore.ieee.org
14	A Gyrard, M Serrano, P Patel	Building interoperable and cross-domain semantic web of things applications	2017	Elsevier
15	A Hefnawy, T Elhariri, C Cherifi, J Robert…	Combined use of lifecycle management and IoT in smart cities	2017	ieeexplore.ieee.org
16	J Guth, U Breitenbücher, M Falkenthal…	Comparison of IoT platform architectures: A field study based on a reference architecture	2016	ieeexplore.ieee.org
17	F Cicirelli, A Guerrieri, G Spezzano…	Edge computing and social internet of things for large-scale smart environments development	2018	ieeexplore.ieee.org
18	J Ronkainen, A Iivari	Designing a data management pipeline for pervasive sensor communication systems	2015	Elsevier
19	K Gunasekera, AN Borrero, F Vasuian…	Experiences in building an IoT infrastructure for agriculture education	2018	Elsevier
20	M Ammar, G Russello, B Crispo	Internet of Things: A survey on the security of IoT frameworks	2018	Elsevier
21	D Meana-Llorián, CG García, BCP G-bustelo…	IoFClime: The fuzzy logic and the Internet of Things to control indoor temperature regarding the outdoor ambient conditions	2017	Elsevier
22	A Farahzadi, P Shams, J Rezazadeh…	Middleware technologies for cloud of things: a survey	2018	Elsevier
23	Y Li, P Lin, H Zhou, Z Chen, L Wu, S Cheng, F Su	On-line Monitoring System Based on Open Source Platform for Photovoltaic Array	2018	Elsevier
24	MAA da Cruz, JJPC Rodrigues, AK Sangaiah…	Performance evaluation of IoT middleware	2018	Elsevier
25	I Zyrianoff, A Heideker, D Silva…	Scalability of an Internet of Things Platform for Smart Water Management for Agriculture	2018	dl.acm.org
26	N Ferry, A Solberg, H Song, S Lavirotte, JY Tigli…	ENACT: Development, Operation, and Quality Assurance of Trustworthy Smart IoT Systems	2018	Springer
27	B Péceli, G Singler, Z Theisz, C Hegedűs…	Integrated Infrastructure for Electro Mobility Powered by the Arrowhead Framework	2018	ieeexplore.ieee.org
28	BHRKS ZEADALLY, AFL KHOUKHI	Internet of Things (IoT) Technologies for Smart Cities		IET
29	R Singh, G Anita, S Capoor, G Rana, R Sharma…	Internet of Things Enabled Robot Based Smart Room Automation and Localization System	2019	Springer
30	CTA Lai, W Jiang, PR Jackson	Internet of Things enabling condition-based maintenance in elevators service	2019	emeraldinsight.com
31	J Kim, J Yun, SC Choi, DN Seed, G Lu…	Standard-based IoT platforms interworking: implementation, experiences, and lessons learned	2016	ieeexplore.ieee.org
32	ALM Silva, JJ Pérez‐Alcázar…	Interoperability in semantic Web of Things: Design issues and solutions	2019	Wiley Online Library
33	AH Ngu, M Gutierrez, V Metsis, S Nepal…	IoT middleware: A survey on issues and enabling technologies	2017	ieeexplore.ieee.org
34	R Al-Dhubhani, R Mehmood, I Katib…	Location privacy in smart cities era	2017	Springer
35	MS Kim, N Kamiyama, CW Yi, WK Hong…	Managing a very connected world: A report on APNOMS2015	2016	Springer
36	S Vitabile, M Marks, D Stojanovic, S Pllana…	Medical Data Processing and Analysis for Remote Health and Activities Monitoring	2019	Springer
37	S Jeon, I Jung	MinT: Middleware for cooperative interaction of things	2017	mdpi.com
38	A Rizzardi, D Miorandi, S Sicari, C Cappiello…	Networked smart objects: moving data processing closer to the source	2015	Springer
39	D Andročec	Overcoming Service-Level Interoperability Challenges of the IoT	2017	Springer
40	Y Yamato, H Noguchi, M Kataoka, T Isoda…	Proposal of Parallel Processing Area Extraction and Data Transfer Number Reduction for Automatic GPU Offloading of IoT Applications	2018	Springer
41	LB Oliveira, FMQ Pereira, R Misoczki…	The computer for the 21st century: present security & privacy challenges	2018	Springer
42	P Bonte, F Ongenae, F De Backere…	The MASSIF platform: a modular and semantic platform for the development of flexible IoT services	2017	Springer
43	AA Zaharov, OV Nissenbaum…	Use of Open-Source Internet of Things Platform in Education Projects	2018	ieeexplore.ieee.org
44	H Cadavid, W Garzón, A Pérez, G López…	Towards a Smart Farming Platform: From IoT-Based Crop Sensing to Data Analytics	2018	Springer
45	J Kim, J Lee, J Kim, J Yun	M2M service platforms: Survey, issues, and enabling technologies	2014	ieeexplore.ieee.org
46	C Keshava, CK Srinivasan	Survey on Optimization in IoT	2018	ieeexplore.ieee.org
47	S Forsstrom, U Jennehag, P Österberg…	Surveying and Identifying the Communication Platforms of the Internet of Things	2018	ieeexplore.ieee.org
48	S Liu, L Guo, H Webb, X Ya, X Chang	Internet of Things Monitoring System of Modern Eco-Agriculture Based on Cloud Computing	2019	ieeexplore.ieee.org
49	S Sicari, A Rizzardi, D Miorandi, C Cappiello…	A secure and quality-aware prototypical architecture for the Internet of Things	2016	Elsevier
50	KN Sharma, N Rai, M Tamang, J Basumataray…	IoT-Based Smart Home	2019	Springer
51	L Chao, X Peng, Z Xu, L Zhang	Ecosystem of Things: Hardware, Software, and Architecture	2019	ieeexplore.ieee.org
52	G Marques, R Pitarma, NM Garcia, N Pombo	Internet of Things Architectures, Technologies, Applications, Challenges, and Future Directions for Enhanced Living Environments and Healthcare Systems: A Review	2019	mdpi.com
53	I Lee	The Internet of Things for Enterprises: An Ecosystem, Architecture, and IoT Service Business Model	2019	Elsevier
54	PP Ray, D Dash, D De	Edge computing for Internet of Things: A survey, e-healthcare case study and future direction	2019	Elsevier
55	V Vallois, F Guenane…	Reference Architectures for Security-by-Design IoT: Comparative Study	2019	ieeexplore.ieee.org
56	J Díaz, JE Pérez, MA Lopez-Peña, GA Mena…	Self-Service Cybersecurity Monitoring as Enabler for DevSecOps	2019	ieeexplore.ieee.org